"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Lebanon","307.13","522.42","782.21","744.61","677.37","647.57","578.65","576.65","583.48","595.37","647.17","572.42","501.01","465.75","441.86","404.10","349.50","369.98","375.08","393.22","417.78","426.56"
"Lesotho","114.71","96.73","130.44","130.57","115.21","90.89","104.40","120.47","130.44","124.86","117.35","87.46","79.69","68.08","64.80","48.88","41.15","40.89","31.89","23.18","28.24","23.77"
"Liberia","112.27","101.29","52.03","69.11","72.51","68.50","70.18","59.99","48.75","50.36","54.35","50.64","52.30","26.56","16.01","19.48","20.64","18.21","6.16","7.03","6.91","8.58"
"Libya","","","","","","","","","","","312.85","380.93","342.55","312.47","269.95","231.38","210.63","202.57","192.35","185.20","261.96","254.32"
"Lithuania","1858.59","1520.39","1369.98","1249.03","1083.30","988.53","920.20","1021.23","958.93","896.94","925.47","805.22","864.74","936.51","704.29","536.06","438.93","366.96","338.86","254.37","218.82","217.18"
"Luxembourg","7635.70","6785.86","6221.74","6227.08","5713.12","5475.14","5421.93","6547.03","6356.64","6029.47","7174.74","7459.84","7670.59","7578.75","6671.27","6070.74","5818.15","5610.35","4607.40","3600.87","3109.20","2901.20"
"Madagascar","17.64","17.22","15.89","21.67","24.18","24.78","22.81","23.08","19.76","19.72","23.37","21.58","19.97","21.34","19.72","16.76","16.26","14.57","17.99","15.31","13.39","11.40"
"Malawi","46.56","42.54","41.78","36.98","37.93","34.33","35.28","35.65","39.88","32.81","39.60","34.24","35.81","32.94","25.17","21.08","17.35","16.06","12.41","11.27","7.49","8.92"
"Malaysia","487.01","414.96","427.46","416.32","370.72","353.64","370.72","415.65","382.19","371.79","343.20","285.03","244.84","262.78","229.76","199.86","161.63","153.40","141.87","121.41","114.84","111.95"
"Maldives","1038.67","825.57","851.51","804.87","932.76","993.47","823.19","702.09","670.55","645.91","587.00","607.55","678.18","773.51","477.29","403.24","334.49","303.87","239.95","248.91","229.36","219.48"
"Mali","40.12","28.85","32.17","31.96","29.23","28.31","29.75","36.68","30.90","28.27","32.53","32.20","35.58","34.10","30.43","27.66","24.62","22.32","19.29","16.34","13.53","14.40"
"Malta","3641.62","3135.41","2943.63","2753.51","2551.72","2321.15","2243.47","2456.43","2121.08","1898.60","1960.06","1733.67","1677.36","1751.17","1596.12","1474.48","1379.69","1223.86","1074.09","830.65","685.98","647.10"
"Marshall Islands","766.94","707.48","782.24","736.77","646.29","654.57","571.25","476.77","485.22","452.07","424.92","417.30","406.95","429.44","445.58","532.66","509.71","381.62","306.88","311.03","332.20","370.74"
"Mauritania","89.29","63.30","60.75","55.62","54.20","48.90","57.41","59.37","55.35","49.02","47.48","43.39","44.13","48.52","39.64","34.38","33.18","30.64","28.69","25.21","22.58","22.31"
"Mauritius","564.90","569.43","670.97","641.56","594.63","539.51","515.37","544.40","440.10","387.23","385.77","357.00","301.46","312.63","229.04","203.08","192.01","184.66","157.65","132.40","116.41","115.96"
"Mexico","610.65","538.52","552.70","530.65","514.89","492.87","558.17","615.10","631.21","587.83","570.73","539.27","496.81","576.72","560.49","516.06","485.67","448.06","414.04","388.03","366.98","321.80"
"Micronesia (Federated States of)","393.35","398.57","420.58","422.45","405.31","396.63","359.79","343.01","353.23","370.93","377.49","361.80","325.84","290.12","259.47","246.38","399.61","259.03","209.74","170.65","181.97","161.96"
"Monaco","8634.26","7812.29","7730.60","7848.36","7219.59","7189.66","7347.92","8682.37","8460.79","7871.21","8302.92","8013.05","8147.87","8300.91","7028.44","6149.10","5888.79","5683.70","4830.66","3363.35","3048.09","2967.43"
